sentence,source_text,true_value,label,suite,variant,source_index,template,action,slots_json,nature_score,nature_score_norm,nature_group,error
"During the storm, a local student kept cleaning up a wolf along the trail.","During the storm, a local student kept cleaning up the natural habitat.",nature,nature,nature_life,animal,157,"During the storm, {agent} kept {action} {patient}.",cleaning up,"{""action"": ""cleaning up"", ""agent"": ""a local student"", ""patient"": ""the natural habitat"", ""sample_index"": 157}",98.0,0.98,animal,
"During the storm, a local student kept cleaning up a badger beside the path.","During the storm, a local student kept cleaning up the grove.",nature,nature,nature_life,animal,158,"During the storm, {agent} kept {action} {patient}.",cleaning up,"{""action"": ""cleaning up"", ""agent"": ""a local student"", ""patient"": ""the grove"", ""sample_index"": 158}",93.0,0.93,animal,
A caretaker was protecting a hare in the meadow at sunrise.,A caretaker was protecting the woods at sunrise.,nature,nature,nature_life,animal,159,{agent} was {action} {patient} {place}.,protecting,"{""action"": ""protecting"", ""agent"": ""a caretaker"", ""patient"": ""the woods"", ""place"": ""at sunrise"", ""sample_index"": 159}",92.0,0.92,animal,
Everyone noticed the community team cleaning up a fox moving through the woods at sunrise.,Everyone noticed the community team cleaning up the woodland at sunrise.,nature,nature,nature_life,animal,160,Everyone noticed {agent} {action} {patient} {place}.,cleaning up,"{""action"": ""cleaning up"", ""agent"": ""the community team"", ""patient"": ""the woodland"", ""place"": ""at sunrise"", ""sample_index"": 160}",98.0,0.98,animal,
People praised a caretaker for healing a bird nesting in the branches after the rain.,People praised a caretaker for healing the grove after the rain.,nature,nature,nature_life,animal,161,People praised {agent} for {action} {patient} {place}.,healing,"{""action"": ""healing"", ""agent"": ""a caretaker"", ""patient"": ""the grove"", ""place"": ""after the rain"", ""sample_index"": 161}",98.0,0.98,animal,
Everyone noticed a local student safeguarding a deer resting in the clearing on the hillside.,Everyone noticed a local student safeguarding the woodland on the hillside.,nature,nature,nature_life,animal,162,Everyone noticed {agent} {action} {patient} {place}.,safeguarding,"{""action"": ""safeguarding"", ""agent"": ""a local student"", ""patient"": ""the woodland"", ""place"": ""on the hillside"", ""sample_index"": 162}",98.0,0.98,animal,
It was clear that a ranger spent the day nurturing an otter by the river.,It was clear that a ranger spent the day nurturing the woods.,nature,nature,nature_life,animal,163,It was clear that {agent} spent the day {action} {patient}.,nurturing,"{""action"": ""nurturing"", ""agent"": ""a ranger"", ""patient"": ""the woods"", ""sample_index"": 163}",98.0,0.98,animal,
The community team was safeguarding a rabbit in the grass near the trail.,The community team was safeguarding the woods near the trail.,nature,nature,nature_life,animal,164,{agent} was {action} {patient} {place}.,safeguarding,"{""action"": ""safeguarding"", ""agent"": ""the community team"", ""patient"": ""the woods"", ""place"": ""near the trail"", ""sample_index"": 164}",93.0,0.93,animal,
"During the storm, a caretaker kept cleaning up a hedgehog near the roots.","During the storm, a caretaker kept cleaning up the natural habitat.",nature,nature,nature_life,animal,165,"During the storm, {agent} kept {action} {patient}.",cleaning up,"{""action"": ""cleaning up"", ""agent"": ""a caretaker"", ""patient"": ""the natural habitat"", ""sample_index"": 165}",93.0,0.93,animal,
People praised a caretaker for healing a squirrel in the canopy near the trail.,People praised a caretaker for healing the forest near the trail.,nature,nature,nature_life,animal,166,People praised {agent} for {action} {patient} {place}.,healing,"{""action"": ""healing"", ""agent"": ""a caretaker"", ""patient"": ""the forest"", ""place"": ""near the trail"", ""sample_index"": 166}",98.0,0.98,animal,
It was clear that a caretaker spent the day nurturing a wolf along the trail.,It was clear that a caretaker spent the day nurturing the woods.,nature,nature,nature_life,animal,167,It was clear that {agent} spent the day {action} {patient}.,nurturing,"{""action"": ""nurturing"", ""agent"": ""a caretaker"", ""patient"": ""the woods"", ""sample_index"": 167}",98.0,0.98,animal,
The community team was nurturing a badger beside the path on the hillside.,The community team was nurturing the woods on the hillside.,nature,nature,nature_life,animal,168,{agent} was {action} {patient} {place}.,nurturing,"{""action"": ""nurturing"", ""agent"": ""the community team"", ""patient"": ""the woods"", ""place"": ""on the hillside"", ""sample_index"": 168}",98.0,0.98,animal,
The community team was protecting a hare in the meadow near the trail.,The community team was protecting the woodland near the trail.,nature,nature,nature_life,animal,169,{agent} was {action} {patient} {place}.,protecting,"{""action"": ""protecting"", ""agent"": ""the community team"", ""patient"": ""the woodland"", ""place"": ""near the trail"", ""sample_index"": 169}",98.0,0.98,animal,
A ranger was watching over a fox moving through the woods on the hillside.,A ranger was watching over the natural habitat on the hillside.,nature,nature,nature_life,animal,170,{agent} was {action} {patient} {place}.,watching over,"{""action"": ""watching over"", ""agent"": ""a ranger"", ""patient"": ""the natural habitat"", ""place"": ""on the hillside"", ""sample_index"": 170}",92.0,0.92,animal,
"During the storm, a local student kept watching over a bird nesting in the branches.","During the storm, a local student kept watching over the woodland.",nature,nature,nature_life,animal,171,"During the storm, {agent} kept {action} {patient}.",watching over,"{""action"": ""watching over"", ""agent"": ""a local student"", ""patient"": ""the woodland"", ""sample_index"": 171}",98.0,0.98,animal,
A caretaker was restoring a deer resting in the clearing by the river.,A caretaker was restoring the grove by the river.,nature,nature,nature_life,animal,172,{agent} was {action} {patient} {place}.,restoring,"{""action"": ""restoring"", ""agent"": ""a caretaker"", ""patient"": ""the grove"", ""place"": ""by the river"", ""sample_index"": 172}",98.0,0.98,animal,
"During the storm, a local student kept preserving an otter by the river.","During the storm, a local student kept preserving the forest.",nature,nature,nature_life,animal,173,"During the storm, {agent} kept {action} {patient}.",preserving,"{""action"": ""preserving"", ""agent"": ""a local student"", ""patient"": ""the forest"", ""sample_index"": 173}",98.0,0.98,animal,
It was clear that a volunteer spent the day protecting a rabbit in the grass.,It was clear that a volunteer spent the day protecting the natural habitat.,nature,nature,nature_life,animal,174,It was clear that {agent} spent the day {action} {patient}.,protecting,"{""action"": ""protecting"", ""agent"": ""a volunteer"", ""patient"": ""the natural habitat"", ""sample_index"": 174}",98.0,0.98,animal,
A volunteer was nurturing a hedgehog near the roots after the rain.,A volunteer was nurturing the forest after the rain.,nature,nature,nature_life,animal,175,{agent} was {action} {patient} {place}.,nurturing,"{""action"": ""nurturing"", ""agent"": ""a volunteer"", ""patient"": ""the forest"", ""place"": ""after the rain"", ""sample_index"": 175}",93.0,0.93,animal,
People praised the community team for tending a squirrel in the canopy near the trail.,People praised the community team for tending the natural habitat near the trail.,nature,nature,nature_life,animal,176,People praised {agent} for {action} {patient} {place}.,tending,"{""action"": ""tending"", ""agent"": ""the community team"", ""patient"": ""the natural habitat"", ""place"": ""near the trail"", ""sample_index"": 176}",93.0,0.93,animal,
"During the storm, a local student kept healing a wolf along the trail.","During the storm, a local student kept healing the grove.",nature,nature,nature_life,animal,177,"During the storm, {agent} kept {action} {patient}.",healing,"{""action"": ""healing"", ""agent"": ""a local student"", ""patient"": ""the grove"", ""sample_index"": 177}",98.0,0.98,animal,
People praised a local student for nurturing a badger beside the path after the rain.,People praised a local student for nurturing the woodland after the rain.,nature,nature,nature_life,animal,178,People praised {agent} for {action} {patient} {place}.,nurturing,"{""action"": ""nurturing"", ""agent"": ""a local student"", ""patient"": ""the woodland"", ""place"": ""after the rain"", ""sample_index"": 178}",98.0,0.98,animal,
People praised a ranger for protecting a hare in the meadow near the trail.,People praised a ranger for protecting the woods near the trail.,nature,nature,nature_life,animal,179,People praised {agent} for {action} {patient} {place}.,protecting,"{""action"": ""protecting"", ""agent"": ""a ranger"", ""patient"": ""the woods"", ""place"": ""near the trail"", ""sample_index"": 179}",93.0,0.93,animal,
A volunteer was nurturing a fox moving through the woods near the trail.,A volunteer was nurturing the woods near the trail.,nature,nature,nature_life,animal,180,{agent} was {action} {patient} {place}.,nurturing,"{""action"": ""nurturing"", ""agent"": ""a volunteer"", ""patient"": ""the woods"", ""place"": ""near the trail"", ""sample_index"": 180}",93.0,0.93,animal,
A volunteer was healing a bird nesting in the branches at sunrise.,A volunteer was healing the forest at sunrise.,nature,nature,nature_life,animal,181,{agent} was {action} {patient} {place}.,healing,"{""action"": ""healing"", ""agent"": ""a volunteer"", ""patient"": ""the forest"", ""place"": ""at sunrise"", ""sample_index"": 181}",98.0,0.98,animal,
People praised a local student for watching over a deer resting in the clearing by the river.,People praised a local student for watching over the woodland by the river.,nature,nature,nature_life,animal,182,People praised {agent} for {action} {patient} {place}.,watching over,"{""action"": ""watching over"", ""agent"": ""a local student"", ""patient"": ""the woodland"", ""place"": ""by the river"", ""sample_index"": 182}",98.0,0.98,animal,
Everyone noticed a caretaker cleaning up an otter by the river by the river.,Everyone noticed a caretaker cleaning up the grove by the river.,nature,nature,nature_life,animal,183,Everyone noticed {agent} {action} {patient} {place}.,cleaning up,"{""action"": ""cleaning up"", ""agent"": ""a caretaker"", ""patient"": ""the grove"", ""place"": ""by the river"", ""sample_index"": 183}",98.0,0.98,animal,
Everyone noticed the community team cleaning up a rabbit in the grass at sunrise.,Everyone noticed the community team cleaning up the woods at sunrise.,nature,nature,nature_life,animal,184,Everyone noticed {agent} {action} {patient} {place}.,cleaning up,"{""action"": ""cleaning up"", ""agent"": ""the community team"", ""patient"": ""the woods"", ""place"": ""at sunrise"", ""sample_index"": 184}",93.0,0.93,animal,
People praised a volunteer for preserving a hedgehog near the roots on the hillside.,People praised a volunteer for preserving the woods on the hillside.,nature,nature,nature_life,animal,185,People praised {agent} for {action} {patient} {place}.,preserving,"{""action"": ""preserving"", ""agent"": ""a volunteer"", ""patient"": ""the woods"", ""place"": ""on the hillside"", ""sample_index"": 185}",98.0,0.98,animal,
A ranger was restoring a squirrel in the canopy on the hillside.,A ranger was restoring the woods on the hillside.,nature,nature,nature_life,animal,186,{agent} was {action} {patient} {place}.,restoring,"{""action"": ""restoring"", ""agent"": ""a ranger"", ""patient"": ""the woods"", ""place"": ""on the hillside"", ""sample_index"": 186}",98.0,0.98,animal,
"During the storm, a ranger kept nurturing a wolf along the trail.","During the storm, a ranger kept nurturing the grove.",nature,nature,nature_life,animal,187,"During the storm, {agent} kept {action} {patient}.",nurturing,"{""action"": ""nurturing"", ""agent"": ""a ranger"", ""patient"": ""the grove"", ""sample_index"": 187}",98.0,0.98,animal,
"During the storm, a caretaker kept nurturing a badger beside the path.","During the storm, a caretaker kept nurturing the natural habitat.",nature,nature,nature_life,animal,188,"During the storm, {agent} kept {action} {patient}.",nurturing,"{""action"": ""nurturing"", ""agent"": ""a caretaker"", ""patient"": ""the natural habitat"", ""sample_index"": 188}",98.0,0.98,animal,
"During the storm, a local student kept healing a hare in the meadow.","During the storm, a local student kept healing the forest.",nature,nature,nature_life,animal,189,"During the storm, {agent} kept {action} {patient}.",healing,"{""action"": ""healing"", ""agent"": ""a local student"", ""patient"": ""the forest"", ""sample_index"": 189}",92.0,0.92,animal,
"During the storm, a caretaker kept protecting a fox moving through the woods.","During the storm, a caretaker kept protecting the natural habitat.",nature,nature,nature_life,animal,190,"During the storm, {agent} kept {action} {patient}.",protecting,"{""action"": ""protecting"", ""agent"": ""a caretaker"", ""patient"": ""the natural habitat"", ""sample_index"": 190}",98.0,0.98,animal,
A ranger was nurturing a bird nesting in the branches after the rain.,A ranger was nurturing the woods after the rain.,nature,nature,nature_life,animal,191,{agent} was {action} {patient} {place}.,nurturing,"{""action"": ""nurturing"", ""agent"": ""a ranger"", ""patient"": ""the woods"", ""place"": ""after the rain"", ""sample_index"": 191}",98.0,0.98,animal,
Everyone noticed the community team protecting a deer resting in the clearing near the trail.,Everyone noticed the community team protecting the forest near the trail.,nature,nature,nature_life,animal,192,Everyone noticed {agent} {action} {patient} {place}.,protecting,"{""action"": ""protecting"", ""agent"": ""the community team"", ""patient"": ""the forest"", ""place"": ""near the trail"", ""sample_index"": 192}",98.0,0.98,animal,
People praised a local student for watching over an otter by the river near the trail.,People praised a local student for watching over the woodland near the trail.,nature,nature,nature_life,animal,193,People praised {agent} for {action} {patient} {place}.,watching over,"{""action"": ""watching over"", ""agent"": ""a local student"", ""patient"": ""the woodland"", ""place"": ""near the trail"", ""sample_index"": 193}",98.0,0.98,animal,
"During the storm, a ranger kept tending a rabbit in the grass.","During the storm, a ranger kept tending the grove.",nature,nature,nature_life,animal,194,"During the storm, {agent} kept {action} {patient}.",tending,"{""action"": ""tending"", ""agent"": ""a ranger"", ""patient"": ""the grove"", ""sample_index"": 194}",92.0,0.92,animal,
"During the storm, a caretaker kept safeguarding a hedgehog near the roots.","During the storm, a caretaker kept safeguarding the woodland.",nature,nature,nature_life,animal,195,"During the storm, {agent} kept {action} {patient}.",safeguarding,"{""action"": ""safeguarding"", ""agent"": ""a caretaker"", ""patient"": ""the woodland"", ""sample_index"": 195}",93.0,0.93,animal,
It was clear that a caretaker spent the day preserving a squirrel in the canopy.,It was clear that a caretaker spent the day preserving the grove.,nature,nature,nature_life,animal,196,It was clear that {agent} spent the day {action} {patient}.,preserving,"{""action"": ""preserving"", ""agent"": ""a caretaker"", ""patient"": ""the grove"", ""sample_index"": 196}",98.0,0.98,animal,
Everyone noticed a local student watching over a wolf along the trail by the river.,Everyone noticed a local student watching over the natural habitat by the river.,nature,nature,nature_life,animal,197,Everyone noticed {agent} {action} {patient} {place}.,watching over,"{""action"": ""watching over"", ""agent"": ""a local student"", ""patient"": ""the natural habitat"", ""place"": ""by the river"", ""sample_index"": 197}",98.0,0.98,animal,
A caretaker was watching over a badger beside the path on the hillside.,A caretaker was watching over the woodland on the hillside.,nature,nature,nature_life,animal,198,{agent} was {action} {patient} {place}.,watching over,"{""action"": ""watching over"", ""agent"": ""a caretaker"", ""patient"": ""the woodland"", ""place"": ""on the hillside"", ""sample_index"": 198}",93.0,0.93,animal,
"During the storm, the community team kept preserving a hare in the meadow.","During the storm, the community team kept preserving the forest.",nature,nature,nature_life,animal,199,"During the storm, {agent} kept {action} {patient}.",preserving,"{""action"": ""preserving"", ""agent"": ""the community team"", ""patient"": ""the forest"", ""sample_index"": 199}",92.0,0.92,animal,
"During the storm, a local student kept healing a fox moving through the woods.","During the storm, a local student kept healing the forest.",nature,nature,nature_life,animal,200,"During the storm, {agent} kept {action} {patient}.",healing,"{""action"": ""healing"", ""agent"": ""a local student"", ""patient"": ""the forest"", ""sample_index"": 200}",93.0,0.93,animal,
People praised a caretaker for cleaning up a bird nesting in the branches at sunrise.,People praised a caretaker for cleaning up the natural habitat at sunrise.,nature,nature,nature_life,animal,201,People praised {agent} for {action} {patient} {place}.,cleaning up,"{""action"": ""cleaning up"", ""agent"": ""a caretaker"", ""patient"": ""the natural habitat"", ""place"": ""at sunrise"", ""sample_index"": 201}",98.0,0.98,animal,
A volunteer was watching over a deer resting in the clearing after the rain.,A volunteer was watching over the woodland after the rain.,nature,nature,nature_life,animal,202,{agent} was {action} {patient} {place}.,watching over,"{""action"": ""watching over"", ""agent"": ""a volunteer"", ""patient"": ""the woodland"", ""place"": ""after the rain"", ""sample_index"": 202}",93.0,0.93,animal,
Everyone noticed a local student restoring an otter by the river by the river.,Everyone noticed a local student restoring the grove by the river.,nature,nature,nature_life,animal,203,Everyone noticed {agent} {action} {patient} {place}.,restoring,"{""action"": ""restoring"", ""agent"": ""a local student"", ""patient"": ""the grove"", ""place"": ""by the river"", ""sample_index"": 203}",98.0,0.98,animal,
People praised a volunteer for protecting a rabbit in the grass on the hillside.,People praised a volunteer for protecting the woods on the hillside.,nature,nature,nature_life,animal,204,People praised {agent} for {action} {patient} {place}.,protecting,"{""action"": ""protecting"", ""agent"": ""a volunteer"", ""patient"": ""the woods"", ""place"": ""on the hillside"", ""sample_index"": 204}",93.0,0.93,animal,
The community team was healing a hedgehog near the roots by the river.,The community team was healing the grove by the river.,nature,nature,nature_life,animal,205,{agent} was {action} {patient} {place}.,healing,"{""action"": ""healing"", ""agent"": ""the community team"", ""patient"": ""the grove"", ""place"": ""by the river"", ""sample_index"": 205}",93.0,0.93,animal,
A local student was cleaning up a squirrel in the canopy near the trail.,A local student was cleaning up the forest near the trail.,nature,nature,nature_life,animal,206,{agent} was {action} {patient} {place}.,cleaning up,"{""action"": ""cleaning up"", ""agent"": ""a local student"", ""patient"": ""the forest"", ""place"": ""near the trail"", ""sample_index"": 206}",93.0,0.93,animal,
Everyone noticed the community team watching over a wolf along the trail at sunrise.,Everyone noticed the community team watching over the woodland at sunrise.,nature,nature,nature_life,animal,207,Everyone noticed {agent} {action} {patient} {place}.,watching over,"{""action"": ""watching over"", ""agent"": ""the community team"", ""patient"": ""the woodland"", ""place"": ""at sunrise"", ""sample_index"": 207}",98.0,0.98,animal,
"During the storm, a volunteer kept watching over a badger beside the path.","During the storm, a volunteer kept watching over the grove.",nature,nature,nature_life,animal,208,"During the storm, {agent} kept {action} {patient}.",watching over,"{""action"": ""watching over"", ""agent"": ""a volunteer"", ""patient"": ""the grove"", ""sample_index"": 208}",98.0,0.98,animal,
It was clear that a local student spent the day healing a hare in the meadow.,It was clear that a local student spent the day healing the woods.,nature,nature,nature_life,animal,209,It was clear that {agent} spent the day {action} {patient}.,healing,"{""action"": ""healing"", ""agent"": ""a local student"", ""patient"": ""the woods"", ""sample_index"": 209}",98.0,0.98,animal,
It was clear that a ranger spent the day healing a fox moving through the woods.,It was clear that a ranger spent the day healing the woodland.,nature,nature,nature_life,animal,210,It was clear that {agent} spent the day {action} {patient}.,healing,"{""action"": ""healing"", ""agent"": ""a ranger"", ""patient"": ""the woodland"", ""sample_index"": 210}",98.0,0.98,animal,
Everyone noticed the community team tending a bird nesting in the branches by the river.,Everyone noticed the community team tending the woodland by the river.,nature,nature,nature_life,animal,211,Everyone noticed {agent} {action} {patient} {place}.,tending,"{""action"": ""tending"", ""agent"": ""the community team"", ""patient"": ""the woodland"", ""place"": ""by the river"", ""sample_index"": 211}",98.0,0.98,animal,
Everyone noticed the community team nurturing a deer resting in the clearing at sunrise.,Everyone noticed the community team nurturing the natural habitat at sunrise.,nature,nature,nature_life,animal,212,Everyone noticed {agent} {action} {patient} {place}.,nurturing,"{""action"": ""nurturing"", ""agent"": ""the community team"", ""patient"": ""the natural habitat"", ""place"": ""at sunrise"", ""sample_index"": 212}",98.0,0.98,animal,
"During the storm, the community team kept restoring an otter by the river.","During the storm, the community team kept restoring the grove.",nature,nature,nature_life,animal,213,"During the storm, {agent} kept {action} {patient}.",restoring,"{""action"": ""restoring"", ""agent"": ""the community team"", ""patient"": ""the grove"", ""sample_index"": 213}",98.0,0.98,animal,
Everyone noticed the community team safeguarding a rabbit in the grass at sunrise.,Everyone noticed the community team safeguarding the natural habitat at sunrise.,nature,nature,nature_life,animal,214,Everyone noticed {agent} {action} {patient} {place}.,safeguarding,"{""action"": ""safeguarding"", ""agent"": ""the community team"", ""patient"": ""the natural habitat"", ""place"": ""at sunrise"", ""sample_index"": 214}",98.0,0.98,animal,
Everyone noticed a volunteer watching over a hedgehog near the roots after the rain.,Everyone noticed a volunteer watching over the woods after the rain.,nature,nature,nature_life,animal,215,Everyone noticed {agent} {action} {patient} {place}.,watching over,"{""action"": ""watching over"", ""agent"": ""a volunteer"", ""patient"": ""the woods"", ""place"": ""after the rain"", ""sample_index"": 215}",92.0,0.92,animal,
It was clear that a local student spent the day tending a squirrel in the canopy.,It was clear that a local student spent the day tending the forest.,nature,nature,nature_life,animal,216,It was clear that {agent} spent the day {action} {patient}.,tending,"{""action"": ""tending"", ""agent"": ""a local student"", ""patient"": ""the forest"", ""sample_index"": 216}",98.0,0.98,animal,
"During the storm, a local student kept safeguarding a wolf along the trail.","During the storm, a local student kept safeguarding the grove.",nature,nature,nature_life,animal,217,"During the storm, {agent} kept {action} {patient}.",safeguarding,"{""action"": ""safeguarding"", ""agent"": ""a local student"", ""patient"": ""the grove"", ""sample_index"": 217}",98.0,0.98,animal,
"During the storm, a ranger kept restoring a badger beside the path.","During the storm, a ranger kept restoring the woods.",nature,nature,nature_life,animal,218,"During the storm, {agent} kept {action} {patient}.",restoring,"{""action"": ""restoring"", ""agent"": ""a ranger"", ""patient"": ""the woods"", ""sample_index"": 218}",98.0,0.98,animal,
People praised a caretaker for healing a hare in the meadow at sunrise.,People praised a caretaker for healing the forest at sunrise.,nature,nature,nature_life,animal,219,People praised {agent} for {action} {patient} {place}.,healing,"{""action"": ""healing"", ""agent"": ""a caretaker"", ""patient"": ""the forest"", ""place"": ""at sunrise"", ""sample_index"": 219}",98.0,0.98,animal,
People praised a local student for preserving a fox moving through the woods near the trail.,People praised a local student for preserving the forest near the trail.,nature,nature,nature_life,animal,220,People praised {agent} for {action} {patient} {place}.,preserving,"{""action"": ""preserving"", ""agent"": ""a local student"", ""patient"": ""the forest"", ""place"": ""near the trail"", ""sample_index"": 220}",98.0,0.98,animal,
It was clear that a ranger spent the day tending a bird nesting in the branches.,It was clear that a ranger spent the day tending the grove.,nature,nature,nature_life,animal,221,It was clear that {agent} spent the day {action} {patient}.,tending,"{""action"": ""tending"", ""agent"": ""a ranger"", ""patient"": ""the grove"", ""sample_index"": 221}",98.0,0.98,animal,
Everyone noticed the community team nurturing a deer resting in the clearing by the river.,Everyone noticed the community team nurturing the grove by the river.,nature,nature,nature_life,animal,222,Everyone noticed {agent} {action} {patient} {place}.,nurturing,"{""action"": ""nurturing"", ""agent"": ""the community team"", ""patient"": ""the grove"", ""place"": ""by the river"", ""sample_index"": 222}",98.0,0.98,animal,
People praised a local student for safeguarding an otter by the river at sunrise.,People praised a local student for safeguarding the woodland at sunrise.,nature,nature,nature_life,animal,223,People praised {agent} for {action} {patient} {place}.,safeguarding,"{""action"": ""safeguarding"", ""agent"": ""a local student"", ""patient"": ""the woodland"", ""place"": ""at sunrise"", ""sample_index"": 223}",98.0,0.98,animal,
The community team was healing a rabbit in the grass near the trail.,The community team was healing the forest near the trail.,nature,nature,nature_life,animal,224,{agent} was {action} {patient} {place}.,healing,"{""action"": ""healing"", ""agent"": ""the community team"", ""patient"": ""the forest"", ""place"": ""near the trail"", ""sample_index"": 224}",93.0,0.93,animal,
It was clear that a ranger spent the day nurturing a hedgehog near the roots.,It was clear that a ranger spent the day nurturing the grove.,nature,nature,nature_life,animal,225,It was clear that {agent} spent the day {action} {patient}.,nurturing,"{""action"": ""nurturing"", ""agent"": ""a ranger"", ""patient"": ""the grove"", ""sample_index"": 225}",98.0,0.98,animal,
A local student was preserving a squirrel in the canopy on the hillside.,A local student was preserving the woods on the hillside.,nature,nature,nature_life,animal,226,{agent} was {action} {patient} {place}.,preserving,"{""action"": ""preserving"", ""agent"": ""a local student"", ""patient"": ""the woods"", ""place"": ""on the hillside"", ""sample_index"": 226}",98.0,0.98,animal,
A caretaker was protecting a wolf along the trail on the hillside.,A caretaker was protecting the forest on the hillside.,nature,nature,nature_life,animal,227,{agent} was {action} {patient} {place}.,protecting,"{""action"": ""protecting"", ""agent"": ""a caretaker"", ""patient"": ""the forest"", ""place"": ""on the hillside"", ""sample_index"": 227}",92.0,0.92,animal,
Everyone noticed a local student safeguarding a badger beside the path near the trail.,Everyone noticed a local student safeguarding the woods near the trail.,nature,nature,nature_life,animal,228,Everyone noticed {agent} {action} {patient} {place}.,safeguarding,"{""action"": ""safeguarding"", ""agent"": ""a local student"", ""patient"": ""the woods"", ""place"": ""near the trail"", ""sample_index"": 228}",98.0,0.98,animal,
"During the storm, the community team kept healing a hare in the meadow.","During the storm, the community team kept healing the woods.",nature,nature,nature_life,animal,229,"During the storm, {agent} kept {action} {patient}.",healing,"{""action"": ""healing"", ""agent"": ""the community team"", ""patient"": ""the woods"", ""sample_index"": 229}",92.0,0.92,animal,
It was clear that a ranger spent the day restoring a fox moving through the woods.,It was clear that a ranger spent the day restoring the natural habitat.,nature,nature,nature_life,animal,230,It was clear that {agent} spent the day {action} {patient}.,restoring,"{""action"": ""restoring"", ""agent"": ""a ranger"", ""patient"": ""the natural habitat"", ""sample_index"": 230}",98.0,0.98,animal,
People praised a volunteer for tending a bird nesting in the branches after the rain.,People praised a volunteer for tending the grove after the rain.,nature,nature,nature_life,animal,231,People praised {agent} for {action} {patient} {place}.,tending,"{""action"": ""tending"", ""agent"": ""a volunteer"", ""patient"": ""the grove"", ""place"": ""after the rain"", ""sample_index"": 231}",93.0,0.93,animal,
It was clear that a local student spent the day restoring a deer resting in the clearing.,It was clear that a local student spent the day restoring the woodland.,nature,nature,nature_life,animal,232,It was clear that {agent} spent the day {action} {patient}.,restoring,"{""action"": ""restoring"", ""agent"": ""a local student"", ""patient"": ""the woodland"", ""sample_index"": 232}",98.0,0.98,animal,
Everyone noticed a ranger watching over an otter by the river on the hillside.,Everyone noticed a ranger watching over the grove on the hillside.,nature,nature,nature_life,animal,233,Everyone noticed {agent} {action} {patient} {place}.,watching over,"{""action"": ""watching over"", ""agent"": ""a ranger"", ""patient"": ""the grove"", ""place"": ""on the hillside"", ""sample_index"": 233}",98.0,0.98,animal,
It was clear that a ranger spent the day healing a rabbit in the grass.,It was clear that a ranger spent the day healing the grove.,nature,nature,nature_life,animal,234,It was clear that {agent} spent the day {action} {patient}.,healing,"{""action"": ""healing"", ""agent"": ""a ranger"", ""patient"": ""the grove"", ""sample_index"": 234}",98.0,0.98,animal,
People praised a caretaker for safeguarding a hedgehog near the roots on the hillside.,People praised a caretaker for safeguarding the grove on the hillside.,nature,nature,nature_life,animal,235,People praised {agent} for {action} {patient} {place}.,safeguarding,"{""action"": ""safeguarding"", ""agent"": ""a caretaker"", ""patient"": ""the grove"", ""place"": ""on the hillside"", ""sample_index"": 235}",93.0,0.93,animal,
Everyone noticed a volunteer watching over a squirrel in the canopy at sunrise.,Everyone noticed a volunteer watching over the grove at sunrise.,nature,nature,nature_life,animal,236,Everyone noticed {agent} {action} {patient} {place}.,watching over,"{""action"": ""watching over"", ""agent"": ""a volunteer"", ""patient"": ""the grove"", ""place"": ""at sunrise"", ""sample_index"": 236}",98.0,0.98,animal,
It was clear that a local student spent the day preserving a wolf along the trail.,It was clear that a local student spent the day preserving the natural habitat.,nature,nature,nature_life,animal,237,It was clear that {agent} spent the day {action} {patient}.,preserving,"{""action"": ""preserving"", ""agent"": ""a local student"", ""patient"": ""the natural habitat"", ""sample_index"": 237}",98.0,0.98,animal,
People praised a caretaker for safeguarding a badger beside the path by the river.,People praised a caretaker for safeguarding the woodland by the river.,nature,nature,nature_life,animal,238,People praised {agent} for {action} {patient} {place}.,safeguarding,"{""action"": ""safeguarding"", ""agent"": ""a caretaker"", ""patient"": ""the woodland"", ""place"": ""by the river"", ""sample_index"": 238}",98.0,0.98,animal,
Everyone noticed a ranger tending a hare in the meadow by the river.,Everyone noticed a ranger tending the natural habitat by the river.,nature,nature,nature_life,animal,239,Everyone noticed {agent} {action} {patient} {place}.,tending,"{""action"": ""tending"", ""agent"": ""a ranger"", ""patient"": ""the natural habitat"", ""place"": ""by the river"", ""sample_index"": 239}",92.0,0.92,animal,
Everyone noticed a volunteer watching over a fox moving through the woods on the hillside.,Everyone noticed a volunteer watching over the natural habitat on the hillside.,nature,nature,nature_life,animal,240,Everyone noticed {agent} {action} {patient} {place}.,watching over,"{""action"": ""watching over"", ""agent"": ""a volunteer"", ""patient"": ""the natural habitat"", ""place"": ""on the hillside"", ""sample_index"": 240}",92.0,0.92,animal,
It was clear that the community team spent the day cleaning up a bird nesting in the branches.,It was clear that the community team spent the day cleaning up the woodland.,nature,nature,nature_life,animal,241,It was clear that {agent} spent the day {action} {patient}.,cleaning up,"{""action"": ""cleaning up"", ""agent"": ""the community team"", ""patient"": ""the woodland"", ""sample_index"": 241}",98.0,0.98,animal,
A ranger was restoring a deer resting in the clearing at sunrise.,A ranger was restoring the woodland at sunrise.,nature,nature,nature_life,animal,242,{agent} was {action} {patient} {place}.,restoring,"{""action"": ""restoring"", ""agent"": ""a ranger"", ""patient"": ""the woodland"", ""place"": ""at sunrise"", ""sample_index"": 242}",98.0,0.98,animal,
